,image ID,total,galaxy,cluster,something else,red,blue,impossible,fluffy,bright,no core,bright core,bulge,round,elliptical,disturbed,dense,fuzzy,clumpy,scattered light,small star,nothing,something else entirely,RA,DEC
107,UDGcand_315_insp.png,8,5,3,0,3,2,0,1,4,0,4,1,4,1,0,3,1,0,0,0,0,0,49.1768493652,-35.9767417908
108,UDGcand_148_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.7297058105,-35.3434333801
109,UDGcand_353_insp.png,15,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,50.1475524902,-36.7346229553
110,UDGcand_290_insp.png,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,49.8323898315,-36.5842666626
111,UDGcand_270_insp.png,4,3,1,0,3,0,0,3,0,0,1,2,3,0,0,1,1,1,0,0,0,0,49.2061271667,-36.502910614
112,UDGcand_113_insp.png,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.3478279114,-35.3847770691
113,UDGcand_47_insp.png,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.0417823792,-35.3122138977
114,UDGcand_399_insp.png,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.2863006592,-36.5268249512
115,UDGcand_283_insp.png,5,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,50.133731842,-36.1178436279
116,UDGcand_262_insp.png,7,4,3,0,1,3,0,2,2,0,2,2,2,0,2,1,3,0,0,0,0,0,49.5255470276,-36.5080947876
117,UDGcand_301_insp.png,8,5,3,0,0,5,0,5,0,2,0,3,0,0,5,0,1,4,0,0,0,0,49.2088394165,-36.4479446411
118,UDGcand_346_insp.png,12,1,11,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,50.0170478821,-36.1254501343
119,UDGcand_184_insp.png,4,1,3,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,56.2104225159,-35.4835929871
120,UDGcand_76_insp.png,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.045249939,-35.0003700256
121,UDGcand_374_insp.png,8,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,56.1929206848,-36.17370224
122,UDGcand_97_insp.png,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,55.6310539246,-35.0248451233
123,UDGcand_98_insp.png,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,55.3455810547,-35.8966178894
124,UDGcand_79_insp.png,5,1,4,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,55.2965164185,-35.1318588257
125,UDGcand_274_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.1801490784,-36.1416435242
126,UDGcand_17_insp.png,4,4,0,0,0,4,0,4,0,1,1,2,4,0,0,1,3,0,0,0,0,0,56.1063041687,-35.1012802124
127,UDGcand_342_insp.png,9,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,49.864944458,-36.5584220886
128,UDGcand_106_insp.png,3,2,1,0,0,2,0,2,0,1,0,1,0,0,2,0,1,1,0,0,0,0,55.3928108215,-35.4028053284
129,UDGcand_177_insp.png,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5712051392,-35.777885437
130,UDGcand_300_insp.png,12,11,0,1,0,11,0,11,0,1,1,9,9,0,2,0,3,8,0,0,1,0,49.7688217163,-36.4974899292
131,UDGcand_257_insp.png,6,1,2,3,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,2,0,50.1488418579,-36.1148719788
132,UDGcand_190_insp.png,4,3,1,0,0,3,0,1,2,0,2,1,3,0,0,1,0,2,0,0,0,0,55.5159721375,-35.1511077881
133,UDGcand_366_insp.png,9,9,0,0,5,4,0,3,6,0,8,1,7,1,1,6,1,2,0,0,0,0,56.2593460083,-36.378326416
134,UDGcand_387_insp.png,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.3034629822,-36.8145370483
135,UDGcand_80_insp.png,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.973323822,-35.0012664795
136,UDGcand_103_insp.png,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.9168548584,-35.2063598633
137,UDGcand_341_insp.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8378486633,-36.5941810608
138,UDGcand_116_insp.png,2,2,0,0,2,0,0,1,1,0,2,0,0,2,0,0,1,1,0,0,0,0,55.6266517639,-35.202293396
139,UDGcand_318_insp.png,5,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,49.6960678101,-36.1167488098
140,UDGcand_396_insp.png,10,4,5,1,0,4,0,4,0,0,1,3,0,1,3,0,2,2,0,0,1,0,55.2864151001,-36.9319725037
141,UDGcand_57_insp.png,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4341087341,-35.5875549316
142,UDGcand_15_insp.png,4,2,2,0,2,0,0,0,2,0,1,1,2,0,0,2,0,0,0,0,0,0,56.2847595215,-35.3040084839
143,UDGcand_30_insp.png,7,3,0,4,0,2,1,3,0,3,0,0,2,0,1,0,3,0,1,0,3,0,55.3600158691,-35.3796882629
